"","p01","p02","p03","p04","p05","p06","p07","p08","p09","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20"
"p11",0.524214103653356,0.510388437217706,0.576433121019108,0.588835942818244,0.742494996664443,0.433823529411765,0.421714285714286,0.631814119749777,0.600283486888731,0.344521224086871,0,0.468805704099822,0.612244897959184,0.74031007751938,0.332549941245593,0.331230283911672,0.829991980753809,0.749817117776152,0.621224489795918,0.714285714285714
"p12",0.252747252747253,0.298841698841699,0.380886426592798,0.349426674713337,0.544754001185536,0.495297805642633,0.555973659454374,0.461361897475134,0.468417761100688,0.335553705245629,0.468805704099822,0,0.333789329685363,0.476958525345622,0.576515880654475,0.311676909569798,0.602787456445993,0.443086816720257,0.429582448690729,0.415625
"p13",0.330257086354647,0.358673116793366,0.469924812030075,0.354339414040907,0.513866231647635,0.585434173669468,0.626337448559671,0.470870459218643,0.442604226156482,0.473762010347376,0.612244897959184,0.333789329685363,0,0.379237288135593,0.672544080604534,0.459333849728892,0.603024574669187,0.462214411247803,0.433865814696486,0.45391061452514
"p14",0.479620323841429,0.58163858221964,0.535828877005348,0.335573691790687,0.546616185518221,0.748531139835488,0.770315648085964,0.470282746682054,0.453827160493827,0.561155500921942,0.74031007751938,0.476958525345622,0.379237288135593,0,0.822525597269625,0.6,0.668995163890381,0.404341241797072,0.572593800978793,0.617819460726846
"p15",0.636197440585009,0.599609375,0.655583972719523,0.688311688311688,0.783898305084746,0.52636815920398,0.472222222222222,0.677606177606178,0.698795180722892,0.466666666666667,0.332549941245593,0.576515880654475,0.672544080604534,0.822525597269625,0,0.45852534562212,0.845360824742268,0.806853582554517,0.669001751313485,0.712586719524281
"p16",0.35678391959799,0.387900355871886,0.484681853888452,0.445491251682369,0.659630606860158,0.43710407239819,0.491031390134529,0.575704225352113,0.504201680672269,0.267961165048544,0.331230283911672,0.311676909569798,0.459333849728892,0.6,0.45852534562212,0,0.772151898734177,0.589595375722543,0.475040257648953,0.601442741208296
"p17",0.6,0.554929577464789,0.609942638623327,0.63973063973064,0.58167770419426,0.812990720913633,0.811447811447811,0.624301675977654,0.657772621809745,0.793363499245852,0.829991980753809,0.602787456445993,0.603024574669187,0.668995163890381,0.845360824742268,0.772151898734177,0,0.555952380952381,0.660598179453836,0.6
"p18",0.527950310559006,0.485714285714286,0.606867969212552,0.508937960042061,0.626293995859213,0.680473372781065,0.769113149847095,0.594072164948454,0.646420824295011,0.632088520055325,0.749817117776152,0.443086816720257,0.462214411247803,0.404341241797072,0.806853582554517,0.589595375722543,0.555952380952381,0,0.624849215922799,0.59344262295082
"p19",0.245231607629428,0.350500715307582,0.494505494505495,0.344318181818182,0.477094972067039,0.535895576504714,0.612349914236707,0.497872340425532,0.446533490011751,0.480061349693252,0.621224489795918,0.429582448690729,0.433865814696486,0.572593800978793,0.669001751313485,0.475040257648953,0.660598179453836,0.624849215922799,0,0.501084598698482
"p20",0.409737827715356,0.419762845849802,0.473833097595474,0.519360786724032,0.554616777308389,0.560192616372392,0.641819941916747,0.54894283476899,0.55768005098789,0.665243381725021,0.714285714285714,0.415625,0.45391061452514,0.617819460726846,0.712586719524281,0.601442741208296,0.6,0.59344262295082,0.501084598698482,0
